,name,Personality Disimilarity,Personality Similarity Score,Music Similarity Score
8,Knuckle Puck,5.156507995547026,61,67
15,Pink Floyd,5.951024302762322,56,79
1,Demi Lovato,6.00890225315161,56,86
12,Kelsea Ballerini,6.092186270277391,55,83
7,The Used,6.2583427493241945,55,67
