acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,popularity
0.289,https://api.spotify.com/v1/audio-analysis/5cRyBkxNi0EWEY6fZyPWnh,0.351,165467,0.749,5cRyBkxNi0EWEY6fZyPWnh,0,2,0.0952,-9.435,1,0.0628,160.673,4,https://api.spotify.com/v1/tracks/5cRyBkxNi0EWEY6fZyPWnh,audio_features,spotify:track:5cRyBkxNi0EWEY6fZyPWnh,0.966,52
0.0079,https://api.spotify.com/v1/audio-analysis/57p8CBvPOxrvyCbn6ttl5r,0.653,234286,0.91,57p8CBvPOxrvyCbn6ttl5r,0,10,0.318,-3.36,1,0.0566,126.047,4,https://api.spotify.com/v1/tracks/57p8CBvPOxrvyCbn6ttl5r,audio_features,spotify:track:57p8CBvPOxrvyCbn6ttl5r,0.0861,98
0.0739,https://api.spotify.com/v1/audio-analysis/1uKdhLXDwSc3he8FvG75Mo,0.824,221705,0.564,1uKdhLXDwSc3he8FvG75Mo,0.0195,10,0.416,-9.491,1,0.0559,129.997,4,https://api.spotify.com/v1/tracks/1uKdhLXDwSc3he8FvG75Mo,audio_features,spotify:track:1uKdhLXDwSc3he8FvG75Mo,0.823,55
0.67,https://api.spotify.com/v1/audio-analysis/009oOX7tpCPLzRL9AFiBS8,0.718,136067,0.593,009oOX7tpCPLzRL9AFiBS8,0,0,0.172,-9.976,1,0.0377,124.251,4,https://api.spotify.com/v1/tracks/009oOX7tpCPLzRL9AFiBS8,audio_features,spotify:track:009oOX7tpCPLzRL9AFiBS8,0.873,59
0.0046,https://api.spotify.com/v1/audio-analysis/2nLtzopw4rPReszdYBJU6h,0.496,185587,0.863,2nLtzopw4rPReszdYBJU6h,0,9,0.639,-4.153,1,0.0381,110.018,4,https://api.spotify.com/v1/tracks/2nLtzopw4rPReszdYBJU6h,audio_features,spotify:track:2nLtzopw4rPReszdYBJU6h,0.244,75
0.333,https://api.spotify.com/v1/audio-analysis/1k6dRfKU21EViX8I3C9BoH,0.441,177523,0.605,1k6dRfKU21EViX8I3C9BoH,0.0025,0,0.107,-9.006,1,0.228,165.096,4,https://api.spotify.com/v1/tracks/1k6dRfKU21EViX8I3C9BoH,audio_features,spotify:track:1k6dRfKU21EViX8I3C9BoH,0.344,51
0.142,https://api.spotify.com/v1/audio-analysis/6nlA3j4n3KAY8AgEGmos2o,0.606,230738,0.781,6nlA3j4n3KAY8AgEGmos2o,0.00803,1,0.0734,-5.846,1,0.0703,170.007,4,https://api.spotify.com/v1/tracks/6nlA3j4n3KAY8AgEGmos2o,audio_features,spotify:track:6nlA3j4n3KAY8AgEGmos2o,0.654,63
0.29,https://api.spotify.com/v1/audio-analysis/3ZFBeIyP41HhnALjxWy1pR,0.364,337413,0.457,3ZFBeIyP41HhnALjxWy1pR,0.000106,4,0.922,-14.162,0,0.0675,163.219,4,https://api.spotify.com/v1/tracks/3ZFBeIyP41HhnALjxWy1pR,audio_features,spotify:track:3ZFBeIyP41HhnALjxWy1pR,0.162,55
0.00784,https://api.spotify.com/v1/audio-analysis/1xznGGDReH1oQq0xzbwXa3,0.791,173987,0.619,1xznGGDReH1oQq0xzbwXa3,0.00423,1,0.351,-5.886,1,0.0532,103.989,4,https://api.spotify.com/v1/tracks/1xznGGDReH1oQq0xzbwXa3,audio_features,spotify:track:1xznGGDReH1oQq0xzbwXa3,0.376,86
0.792,https://api.spotify.com/v1/audio-analysis/5JTAGruCIDyRLhKLwFkTnS,0.424,209537,0.356,5JTAGruCIDyRLhKLwFkTnS,0,6,0.148,-8.374,1,0.0777,125.41,4,https://api.spotify.com/v1/tracks/5JTAGruCIDyRLhKLwFkTnS,audio_features,spotify:track:5JTAGruCIDyRLhKLwFkTnS,0.072,71
0.0264,https://api.spotify.com/v1/audio-analysis/743mWMRgafToEUJriLLgkg,0.695,203760,0.632,743mWMRgafToEUJriLLgkg,0,11,0.252,-6.922,0,0.261,143.794,4,https://api.spotify.com/v1/tracks/743mWMRgafToEUJriLLgkg,audio_features,spotify:track:743mWMRgafToEUJriLLgkg,0.87,92
0.0162,https://api.spotify.com/v1/audio-analysis/7LEydI5NfjY6mZfKwYIptZ,0.53,164985,0.512,7LEydI5NfjY6mZfKwYIptZ,0.0000704,8,0.128,-7.094,1,0.133,196.121,4,https://api.spotify.com/v1/tracks/7LEydI5NfjY6mZfKwYIptZ,audio_features,spotify:track:7LEydI5NfjY6mZfKwYIptZ,0.432,93
0.24,https://api.spotify.com/v1/audio-analysis/15eduSFXnQfnQvcmWHDBPi,0.614,158474,0.743,15eduSFXnQfnQvcmWHDBPi,0.00368,7,0.147,-6.574,1,0.0401,162.228,4,https://api.spotify.com/v1/tracks/15eduSFXnQfnQvcmWHDBPi,audio_features,spotify:track:15eduSFXnQfnQvcmWHDBPi,0.534,64
