,name,Personality Disimilarity,Personality Similarity Score
8,Knuckle Puck,5.156507995547026,61
15,Pink Floyd,5.951024302762322,56
1,Demi Lovato,6.00890225315161,56
12,Kelsea Ballerini,6.092186270277391,55
7,The Used,6.2583427493241945,55
